name,nn,nnr,ir,lr,mvr,spline
beta_1,0.12110023601508145,0.41861104471943555,0.4681710357755428,0.7503390596745028,0.4841234099236048,0.46302547393895843
beta_10,0.12104589782051862,0.41955980268520215,0.47313038619816683,0.7505303678896079,0.4769415024259275,0.43923725057833396
beta_100,0.3605465190335286,0.5048621280482768,0.5760407835745507,0.8825536062378168,0.6707463284331171,0.689214484565643
beta_101,0.3296775025771811,0.5087356659357332,0.5770653937164567,0.8600543478260869,0.7086629229810459,0.6751051995300041
beta_102,0.3538754473907571,0.5163237991257035,0.5726933024312997,0.9781976744186046,0.6715943436014062,0.7031976594602833
beta_103,0.36092905053665963,0.5159505079924729,0.5941503647755442,0.9561781609195402,0.6856004125356547,0.6920991011568084
beta_104,0.35643395863123206,0.512020730079644,0.5824477512085976,0.9113995485327314,0.6713559009613826,0.6926060960176643
beta_105,0.3393404268358249,0.5120053419552906,0.5765180966934278,0.8758169934640523,0.6783625147809152,0.7079976160074831
beta_106,0.3720982783032706,0.5097528430198557,0.5838089498231521,0.8304303278688525,0.6764652255569001,0.6786782722435795
beta_107,0.3465476629862686,0.517126503829517,0.5918684987368454,0.9049079754601227,0.689241551482202,0.6897403576665535
beta_108,0.34746232962720996,0.5090066968418752,0.5769603334528713,0.8173431734317343,0.6841287590234787,0.6942670201423968
beta_109,0.36371942700007653,0.5069582858591605,0.5744282829505764,0.9227504244482173,0.6711280069539975,0.6768999775947739
beta_11,0.1210322532395742,0.4184563382353067,0.4730110652333319,0.7505273434095149,0.4679370589969176,0.4312530293905701
beta_110,0.3293915774169662,0.5092802466772328,0.5831411647322121,0.9205202312138728,0.6795473085882024,0.6914845164931016
beta_111,0.3571054396119449,0.5161004591063715,0.5841227222345721,0.9324127906976745,0.68020833687451,0.6963141774277191
beta_112,0.36007151990529856,0.5163793192556927,0.5935723718118515,0.9181034482758621,0.6689784058704497,0.7068746608124806
beta_113,0.32997640431445413,0.508785337393889,0.5724873410305715,0.8323754789272031,0.685214011644014,0.6823175984685618
beta_114,0.33943447565330775,0.5125581278723614,0.5834107825040868,0.9536817102137767,0.6893065861105451,0.6857797050040246
beta_115,0.3250020133179369,0.5126609222129772,0.5773621032383605,0.9289099526066351,0.685125769164747,0.6187335789173265
beta_116,0.3472470421898129,0.5163242402733337,0.5901153438785405,0.9607988165680473,0.7407594757991974,0.7000996003313638
beta_117,0.1517364825920819,0.5151214441222208,0.5859716664298347,0.9008152173913043,0.6958855290098547,0.6900211160771679
beta_118,0.3517849133789933,0.5133725309561448,0.5883277633396292,0.9072890025575447,0.6773283135351205,0.7007433269853615
beta_119,0.32045672891068855,0.5114246570713152,0.578980665844025,0.9072668112798264,0.6787187721944997,0.6681893836406441
beta_12,0.12102611127737521,0.4179649761520883,0.47244486924090134,0.7504403567776523,0.5142399345804721,0.4438032077073003
beta_120,0.2867028856627123,0.5115573755305747,0.572105633537712,0.929637526652452,0.6685954295718108,0.6871741723246072
beta_13,0.11986885097859178,0.4199770007924699,0.47880153125085784,0.7503315455875182,0.5152321919371952,0.4500430356012638
