name,nn,nnr,ir,lr,mvr,spline
beta_1,0.08072912951460802,0.4484379133832018,0.5229551659635302,0.6604475587703436,0.3850227882784437,0.5182046979306548
beta_10,0.08066301969274668,0.44967165996216607,0.5294859832656835,0.6607000856142825,0.3789941660564251,0.48678937331989214
beta_100,0.37718745347350946,0.5056598109379967,0.616228143231433,0.8349707602339181,0.6370890853810094,0.7692242082802829
beta_101,0.3350464370292914,0.508468825388169,0.6156922681351762,0.8052717391304348,0.669454939196267,0.7488094573397708
beta_102,0.36744528736441123,0.5134182737360096,0.6039982325481936,0.9612209302325582,0.635107752125611,0.7796582482161933
beta_103,0.3771814493943333,0.5130409393413363,0.632466612746732,0.9321551724137931,0.6481150469560346,0.7651646550329936
beta_104,0.37166023742873844,0.5103728320818449,0.6200486775103136,0.8730474040632055,0.63479300784078,0.7690571462619964
beta_105,0.3494948499553759,0.5107368127967592,0.6126661427761002,0.8260784313725491,0.6423171313794749,0.7898397611840853
beta_106,0.3930821005377182,0.5084280779562907,0.6230567729394565,0.7661680327868853,0.6398127096037749,0.751936192792409
beta_107,0.3596821106640466,0.5139474953334345,0.6286355565817751,0.864478527607362,0.6519102474321328,0.7611645310063304
beta_108,0.36119847305389147,0.5086188833381451,0.6153260890250187,0.7488929889298893,0.6461724643199622,0.7738688184342668
beta_109,0.3829506721224673,0.5068728056029322,0.613016921530736,0.888030560271647,0.6327675810479436,0.7520065489769339
beta_11,0.08065052197691283,0.4487872553248013,0.5298058873366693,0.6606960933005597,0.364555529744598,0.47670749663312506
beta_110,0.3381955715469046,0.5084979086634933,0.622944430822167,0.8850867052023121,0.6429823345157126,0.769639553926498
beta_111,0.37507098263369276,0.5131234649104914,0.6190850666885133,0.9007848837209302,0.6429302249635918,0.7705720519332087
beta_112,0.3792253122060196,0.5136069702087864,0.6317036620346578,0.881896551724138,0.6324828786031944,0.7846683937784811
beta_113,0.339732597546216,0.5079021748717982,0.6089532666817761,0.7687356321839081,0.6476049977790688,0.7576120866193821
beta_114,0.35243678010964596,0.5105370882900143,0.6206810082188461,0.9288598574821854,0.6519960931415456,0.7593740683182533
beta_115,0.3336006328668336,0.5106895903332127,0.6127265204010932,0.8961611374407583,0.6464774147730921,0.6709027390115742
beta_116,0.3631704443211926,0.513244097218488,0.6267746008314745,0.9382544378698225,0.7012635820146005,0.775330238147806
beta_117,0.10529493956914235,0.5125109148397532,0.6223721717670001,0.8590760869565218,0.6574470043688102,0.7631754300220518
beta_118,0.36954710585876727,0.5108353500709205,0.6262434512039678,0.8676214833759591,0.6409519857350257,0.7781431809199446
beta_119,0.328379094299004,0.5100176541939793,0.6159711901986675,0.867592190889371,0.641888666476025,0.7373498360763272
beta_12,0.0806479196464354,0.4480173494061499,0.5289572552308048,0.6605812709465011,0.40716701049147563,0.4931767374626132
beta_120,0.2993467588458517,0.5103807270491784,0.607111571233083,0.8971215351812367,0.631149185606545,0.7626347797694508
beta_13,0.0791314131533373,0.4499907419065477,0.5367787307298317,0.6604376401755242,0.41412637421838394,0.5008680108128513
beta_14,0.07977966319568093,0.45386250978422715,0.5706459813049408,0.6604910076613427,0.3814629560069687,0.48131083070031166
beta_15,0.07974232239634181,0.45002148223500404,0.5342095412659461,0.6603057119350095,0.36720073056738123,0.5126603998674217
beta_16,0.0798129966783506,0.44896537129049574,0.5291083066170914,0.6604001333777926,0.3649275681356106,0.4832586045158155
beta_17,0.08731818236408491,0.45122063363742315,0.5510162099117752,0.6604442341063259,0.3846607696948444,0.48728505282793544
beta_18,0.07987339313121733,0.4491501861522586,0.5328596444989655,0.6603803296425442,0.3770217935181699,0.47137545670086434
beta_19,0.08730407809893577,0.44981066991034074,0.5273007994724196,0.6603712684033907,0.3829331169032087,0.4981351413428684
beta_2,0.07923408766782648,0.46148604787267755,0.6301014644759974,0.6603628955141418,0.4319568573054026,0.5255467809549621
beta_20,0.07920837096400336,0.44903947184640713,0.5281065501463375,0.6602943100065403,0.3680707081663311,0.5238310920349464
beta_21,0.08679618994387195,0.510246855699398,0.6191698234500039,0.8330916844349681,0.6611902952456816,0.7418883383717192
beta_22,0.13311902327859743,0.5081508754092027,0.6189762845949398,0.811989247311828,0.6350975958148197,0.7644720731191255
beta_23,0.36068782737394783,0.5096329731746214,0.6216303437086255,0.8044171779141105,0.6396618098686147,0.7560948667649141
beta_24,0.35602377196192425,0.5111615375108598,0.6186059850820405,0.8622327790973873,0.6437571721102782,0.764024932912797
beta_25,0.37744451738347184,0.512622087729729,0.6288828847039835,0.9286046511627908,0.6711706498429388,0.77556079756701
beta_26,0.3758437395459116,0.5117841997470216,0.6190822164356344,0.8310218978102191,0.6494725486404784,0.7202564391595179
beta_27,0.35543903418529843,0.5118174844433401,0.6140623616397427,0.8605714285714285,0.6680224142126882,0.7608888558077442
beta_28,0.406631042498164,0.5106962533003809,0.6240671263284665,0.9433507853403142,0.6397317717496933,0.7590232163112951
beta_29,0.09031357783779757,0.5052415236502847,0.6122520855254762,0.7794402985074627,0.6442727315405443,0.7434708605625253
