name,training_time,size,execution_time,10-off_precision,15-off_precision,20-off_precision
lr_beta_1,0.10602580199999956,96,3.6914000000054514e-05,0.00135623869801085,0.002040636929877436,0.002768987341772152
spline_beta_1,0.40058835800000026,10831864,0.00012793700000024444,1.0,1.0,1.0
nnr_beta_1,20.413362325,1914816,0.0008513109999999102,1.0,1.0,1.0
ir_beta_1,0.5210217250000007,7648336,0.00012439800000052514,1.0,1.0,1.0
mvr_beta_1,2.096061388999999,376,0.00018937699999987956,0.202054450472172,0.28879721719911594,0.3631454691581274
lr_beta_10,0.08926708099999914,96,3.640899999979297e-05,0.0021214715584317477,0.002480296124694684,0.0030090902223453278
spline_beta_10,0.4078860710000001,10803848,0.00018836499999963507,1.0,1.0,1.0
nnr_beta_10,20.361441186000004,1909872,0.0007739419999985842,1.0,1.0,1.0
ir_beta_10,0.5301310340000001,7628560,0.0001150419999973451,1.0,1.0,1.0
mvr_beta_10,2.4976340520000018,408,0.00020555900000118754,0.212046433157908,0.31569007629743406,0.401959056228439
lr_beta_100,0.0044198910000048395,88,3.1352000000595126e-05,0.530214424951267,0.797270955165692,0.9434697855750487
spline_beta_100,0.0014171659999959731,36800,3.463899999900377e-05,1.0,1.0,1.0
nnr_beta_100,0.00047382200000356523,9808,0.0006942980000061993,1.0,1.0,1.0
ir_beta_100,0.004164269999996861,28288,7.281799999958594e-05,1.0,1.0,1.0
mvr_beta_100,0.01808891099999954,384,0.00017597600000129887,1.0,1.0,1.0
lr_beta_101,0.004621657000001278,96,3.1352000000595126e-05,0.44021739130434784,0.6938405797101449,0.8731884057971014
spline_beta_101,0.0016035089999988372,39448,3.742100000181381e-05,1.0,1.0,1.0
nnr_beta_101,0.0006631980000051385,10272,0.0006715419999991923,1.0,1.0,1.0
ir_beta_101,0.004482342999999389,30160,7.408200000469378e-05,1.0,1.0,1.0
mvr_beta_101,0.016703855000002932,288,0.00013425800000277377,0.9891304347826086,1.0,1.0
lr_beta_102,0.004417363000001728,96,3.160500000376487e-05,0.9127906976744186,0.9651162790697675,0.9709302325581395
spline_beta_102,0.0010073130000023411,25304,3.463899999900377e-05,1.0,1.0,1.0
nnr_beta_102,0.000364341999997464,7776,0.0006821609999931866,1.0,1.0,1.0
ir_beta_102,0.0040585830000026135,20176,8.546000000109188e-05,1.0,1.0,1.0
mvr_beta_102,0.019110889000003798,400,0.00019418100000478944,1.0,1.0,1.0
lr_beta_103,0.004429246000000831,96,3.185799999982919e-05,0.8247126436781609,0.9712643678160919,0.9770114942528736
spline_beta_103,0.001063444000003244,25576,3.666199999941e-05,1.0,1.0,1.0
nnr_beta_103,0.0003853280000001291,7824,0.0006996069999942733,1.0,1.0,1.0
ir_beta_103,0.0037807119999939687,20368,6.978300000071158e-05,1.0,1.0,1.0
mvr_beta_103,0.017332920000001195,352,0.00017167800000095212,1.0,1.0,1.0
lr_beta_104,0.004700542000001917,96,3.084699999789109e-05,0.6455981941309256,0.9435665914221218,0.9593679458239278
spline_beta_104,0.0012391670000013733,32040,3.463899999900377e-05,1.0,1.0,1.0
nnr_beta_104,0.0006755870000034747,8968,0.0006841850000043337,1.0,1.0,1.0
ir_beta_104,0.004309652999999969,24928,7.205899999718213e-05,1.0,1.0,1.0
mvr_beta_104,0.020327049000002262,400,0.00019064099999610562,1.0,1.0,1.0
lr_beta_105,0.004785748999999839,96,3.211099999589351e-05,0.5032679738562091,0.6993464052287581,0.906318082788671
spline_beta_105,0.0012887239999983535,33128,3.3627000000535645e-05,1.0,1.0,1.0
nnr_beta_105,0.0005039089999954172,9160,0.0006781159999960096,1.0,1.0,1.0
ir_beta_105,0.004424694999997314,25696,7.888600000427459e-05,1.0,1.0,1.0
mvr_beta_105,0.016839882999995837,384,0.00017900999999653777,1.0,1.0,1.0
lr_beta_106,0.00486387699999824,96,3.1100000001060835e-05,0.32172131147540983,0.45491803278688525,0.7315573770491803
spline_beta_106,0.0014287969999955408,35096,3.6915000002579745e-05,1.0,1.0,1.0
nnr_beta_106,0.0005595339999970861,9504,0.0007339940000008482,1.0,1.0,1.0
ir_beta_106,0.004315720999997552,27088,7.054299999964542e-05,1.0,1.0,1.0
mvr_beta_106,0.019363980999997917,384,0.00018103300000404943,1.0,1.0,1.0
lr_beta_107,0.004199415000002205,96,3.109899999742538e-05,0.6196319018404908,0.8496932515337423,0.9723926380368099
spline_beta_107,0.0009792480000001547,24080,3.640900000334568e-05,1.0,1.0,1.0
nnr_beta_107,0.0003577689999971767,7560,0.0006712889999960225,1.0,1.0,1.0
ir_beta_107,0.003708147000004658,19312,7.028999999647567e-05,1.0,1.0,1.0
mvr_beta_107,0.017161495000003413,344,0.0001602999999974486,1.0,1.0,1.0
lr_beta_108,0.004453265999998735,96,3.185799999982919e-05,0.2693726937269373,0.492619926199262,0.7416974169741697
spline_beta_108,0.0013815160000021365,38768,3.489199999506809e-05,1.0,1.0,1.0
nnr_beta_108,0.0004991059999994718,10152,0.0006849429999959966,1.0,1.0,1.0
ir_beta_108,0.004109402999993961,29680,7.559899999876052e-05,1.0,1.0,1.0
mvr_beta_108,0.01976144600000396,352,0.0001686439999986078,0.9907749077490775,1.0,1.0
lr_beta_109,0.004392330999998251,96,3.008799999548728e-05,0.6910016977928692,0.9151103565365025,0.9388794567062818
spline_beta_109,0.001523106999997026,41968,3.539699999777213e-05,1.0,1.0,1.0
nnr_beta_109,0.0005779910000001108,10720,0.0006819079999971223,1.0,1.0,1.0
ir_beta_109,0.004489926999994509,31936,7.205999999371215e-05,1.0,1.0,1.0
mvr_beta_109,0.019222139000000027,384,0.00019999599999920292,1.0,1.0,1.0
lr_beta_11,0.10474213499999507,96,3.539699999777213e-05,0.002109373638059376,0.002527761797674459,0.0034342694768404723
spline_beta_11,0.4434211749999975,11703968,0.00021567199999594777,1.0,1.0,1.0
nnr_beta_11,23.797702446,2068720,0.0007678739999974482,1.0,1.0,1.0
ir_beta_11,0.5720028069999898,8263936,0.0001109970000001681,1.0,1.0,1.0
mvr_beta_11,2.369935083000001,384,0.00019266400000361728,0.15395522084502786,0.23520968801027375,0.3177193196543649
lr_beta_110,0.0043961239999958926,96,3.1352000007700553e-05,0.6820809248554913,0.8747591522157996,0.9672447013487476
spline_beta_110,0.0013286729999890667,37208,3.489200000217352e-05,1.0,1.0,1.0
nnr_beta_110,0.00045106600001076913,9880,0.0007016299999946796,1.0,1.0,1.0
ir_beta_110,0.004173371999996789,28576,7.079500001339056e-05,1.0,1.0,1.0
mvr_beta_110,0.017527100999998883,376,0.0001754709999914894,1.0,1.0,1.0
lr_beta_111,0.004432532999999239,96,3.109899999742538e-05,0.7296511627906976,0.9186046511627907,0.9622093023255814
spline_beta_111,0.0010123699999979863,25304,3.5144999998237836e-05,1.0,1.0,1.0
nnr_beta_111,0.0003709150000048567,7776,0.000684437000003868,1.0,1.0,1.0
ir_beta_111,0.0037298909999918814,20176,7.483999999635671e-05,1.0,1.0,1.0
mvr_beta_111,0.017583232000006888,368,0.00017698700000323697,1.0,1.0,1.0
lr_beta_112,0.004283103999995319,96,3.2615999998597545e-05,0.6724137931034483,0.9367816091954023,0.9540229885057471
spline_beta_112,0.0010548479999954452,25576,3.5144000008813236e-05,1.0,1.0,1.0
nnr_beta_112,0.00033400099999880695,7824,0.0006902530000019169,1.0,1.0,1.0
ir_beta_112,0.0036848860000020522,20368,7.180699999764784e-05,1.0,1.0,1.0
mvr_beta_112,0.017909900999995898,408,0.000207328000001894,1.0,1.0,1.0
lr_beta_113,0.004275520000007305,96,3.0088000002592707e-05,0.32950191570881227,0.5804597701149425,0.8505747126436781
spline_beta_113,0.001363058000009687,37408,3.489200000217352e-05,1.0,1.0,1.0
nnr_beta_113,0.000468006999994941,9912,0.0006988490000026104,1.0,1.0,1.0
ir_beta_113,0.004089428999989764,28720,7.509299999242103e-05,1.0,1.0,1.0
mvr_beta_113,0.01875463800000432,352,0.00016181699999151533,0.9980842911877394,1.0,1.0
lr_beta_114,0.004550609000006034,96,3.084600000136106e-05,0.8147268408551069,0.9548693586698337,0.9643705463182898
spline_beta_114,0.0011908750000060306,30544,3.590299999700619e-05,1.0,1.0,1.0
nnr_beta_114,0.00039013200000681536,8704,0.0007021360000010191,1.0,1.0,1.0
ir_beta_114,0.004081592000005685,23872,7.205999999371215e-05,1.0,1.0,1.0
mvr_beta_114,0.016772880000004875,344,0.00015878300000338186,1.0,1.0,1.0
lr_beta_115,0.004455035000006546,96,3.0340999998657026e-05,0.7156398104265402,0.933649289099526,0.9620853080568721
spline_beta_115,0.0011607870000034384,30608,5.132600000479215e-05,1.0,1.0,1.0
nnr_beta_115,0.00047356900000750096,8712,0.000682668000010267,1.0,1.0,1.0
ir_beta_115,0.004099037000003136,23920,7.509299999242103e-05,1.0,1.0,1.0
mvr_beta_115,0.01763708699999711,344,0.0001686439999986078,0.9976303317535545,1.0,1.0
lr_beta_116,0.004398147000003405,96,3.135299999712515e-05,0.8431952662721893,0.9497041420118343,0.9644970414201184
spline_beta_116,0.0009901210000009544,24896,3.489199998796266e-05,1.0,1.0,1.0
nnr_beta_116,0.0003474020000027167,7704,0.000692526999998222,1.0,1.0,1.0
ir_beta_116,0.003903592000000344,19888,7.155400000158352e-05,1.0,1.0,1.0
mvr_beta_116,0.015210836999997925,232,0.00010922700001003705,1.0,1.0,1.0
lr_beta_117,0.004605222000009235,96,3.084600000136106e-05,0.6032608695652174,0.9456521739130435,0.9646739130434783
spline_beta_117,0.0012543369999917786,26936,3.565099999036647e-05,1.0,1.0,1.0
nnr_beta_117,0.0003413330000086034,8064,0.000675839999999539,1.0,1.0,1.0
ir_beta_117,0.003735958999996569,21328,7.205900000428755e-05,1.0,1.0,1.0
mvr_beta_117,0.01800269299999968,320,0.000153474000001097,1.0,1.0,1.0
lr_beta_118,0.004538220000000592,96,3.185799999982919e-05,0.629156010230179,0.9053708439897699,0.959079283887468
spline_beta_118,0.0012305710000077852,28504,3.489200000217352e-05,1.0,1.0,1.0
nnr_beta_118,0.0003967060000036327,8344,0.0007499230000007628,1.0,1.0,1.0
ir_beta_118,0.0040120600000079784,22432,7.205999999371215e-05,1.0,1.0,1.0
mvr_beta_118,0.0186694310000064,384,0.00018179200000645324,1.0,1.0,1.0
