,size of model,cardinality of dataset,pred time,max error,min error,avg error,dataset,setting
0,16000376,159264,563513278.9611816,0.0,0.0,0.0,beta1,adaptiveSize
1,16000376,159264,581522703.1707764,0.0,0.0,0.0,beta1,adaptiveTime
2,16000376,159264,574530839.920044,0.0,0.0,0.0,beta1,adaptivePrecision
3,16000376,159264,560503482.8186035,0.0,0.0,0.0,beta1,adaptiveOptimal
4,1289184,159264,42795985937.11853,32.347963221819796,-466.0802790928574,2.5852982563247853,beta1,mvr
5,23222664,159264,1157054185.8673096,66.218887496698,-86.57164340867894,2.6152828791530687,beta1,nn
6,18318136,188236,662596225.7385254,0.0,0.0,0.0,beta2,adaptiveSize
7,18318136,188236,657591819.7631836,0.0,0.0,0.0,beta2,adaptiveTime
8,18318136,188236,661610126.4953613,0.0,0.0,0.0,beta2,adaptivePrecision
9,18318136,188236,660601615.9057617,0.0,0.0,0.0,beta2,adaptiveOptimal
10,1289184,188236,51204645872.11609,32.703498794002456,-290.56437064381316,2.874754735246352,beta2,mvr
11,25815672,188236,1393261909.4848633,154.43859123612205,-61.25858298805542,2.9269923648292444,beta2,nn
