,size of model,cardinality of dataset,pred time,max error,min error,avg error,dataset,setting
0,16000376,159264,563513278.9611816,0.0,0.0,0.0,beta1,adaptiveSize
1,16000376,159264,581522703.1707764,0.0,0.0,0.0,beta1,adaptiveTime
2,16000376,159264,574530839.920044,0.0,0.0,0.0,beta1,adaptivePrecision
3,16000376,159264,560503482.8186035,0.0,0.0,0.0,beta1,adaptiveOptimal
4,1289184,159264,42795985937.11853,32.347963221819796,-466.0802790928574,2.5852982563247853,beta1,mvr
5,23222664,159264,1157054185.8673096,66.218887496698,-86.57164340867894,2.6152828791530687,beta1,nn
6,18318136,188236,662596225.7385254,0.0,0.0,0.0,beta2,adaptiveSize
7,18318136,188236,657591819.7631836,0.0,0.0,0.0,beta2,adaptiveTime
8,18318136,188236,661610126.4953613,0.0,0.0,0.0,beta2,adaptivePrecision
9,18318136,188236,660601615.9057617,0.0,0.0,0.0,beta2,adaptiveOptimal
10,1289184,188236,51204645872.11609,32.703498794002456,-290.56437064381316,2.874754735246352,beta2,mvr
11,25815672,188236,1393261909.4848633,154.43859123612205,-61.25858298805542,2.9269923648292444,beta2,nn
12,199736,421,2001285.5529785156,0.0,0.0,0.0,beta24,adaptiveSize
13,199736,421,3002882.0037841797,0.0,0.0,0.0,beta24,adaptiveTime
14,199736,421,1994371.4141845703,0.0,0.0,0.0,beta24,adaptivePrecision
15,199736,421,2001523.9715576172,0.0,0.0,0.0,beta24,adaptiveOptimal
16,66056,421,156142473.2208252,2.510164246003683,-1.9564681846804888,0.5327790236026788,beta24,mvr
17,27239472,421,6005525.588989258,2.414845031586424,-1.894824536111173,0.539033249260688,beta24,nn
18,193576,344,1994371.4141845703,0.0,0.0,0.0,beta25,adaptiveSize
19,193576,344,2000093.4600830078,0.0,0.0,0.0,beta25,adaptiveTime
20,193576,344,2001523.9715576172,0.0,0.0,0.0,beta25,adaptivePrecision
21,193576,344,1994609.8327636719,0.0,0.0,0.0,beta25,adaptiveOptimal
22,65576,344,91083049.77416992,1.8523530046737164,-1.6396613557233346,0.5239262017281613,beta25,mvr
23,29735672,344,5004882.8125,1.8768748899739478,-2.0954586042649908,0.5282636902812831,beta25,nn
24,17025976,172084,601555347.442627,0.0,0.0,0.0,logis1,adaptiveSize
25,17025976,172084,601541042.3278809,0.0,0.0,0.0,logis1,adaptiveTime
26,17025976,172084,607553243.637085,0.0,0.0,0.0,logis1,adaptivePrecision
27,17025976,172084,600539922.7142334,0.0,0.0,0.0,logis1,adaptiveOptimal
28,1288400,172084,14434156179.4281,103885.88954407896,-104397.81588566999,306.05173925086336,logis1,mvr
29,33451960,172084,1373251438.1408691,17.73706411209423,-16.708869257032347,2.667908804720267,logis1,nn
30,18195896,186708,648583650.5889893,0.0,0.0,0.0,logis2,adaptiveSize
31,18195896,186708,656597852.7069092,0.0,0.0,0.0,logis2,adaptiveTime
32,18195896,186708,664598226.5472412,0.0,0.0,0.0,logis2,adaptivePrecision
33,18195896,186708,654596090.3167725,0.0,0.0,0.0,logis2,adaptiveOptimal
34,1282096,186708,12713581562.042236,157266.7073149286,-170087.14878704687,468.2993619226195,logis2,mvr
35,36223792,186708,1506379604.3395996,22.547128567387176,-20.782532463927055,2.802061849609333,logis2,nn
36,205256,490,3002882.0037841797,0.0,0.0,0.0,logis45,adaptiveSize
37,205256,490,3010272.979736328,0.0,0.0,0.0,logis45,adaptiveTime
38,205256,490,3002643.585205078,0.0,0.0,0.0,logis45,adaptivePrecision
39,205256,490,3002882.0037841797,0.0,0.0,0.0,logis45,adaptiveOptimal
40,64800,490,42038440.7043457,3.0282825078469955,-2.7493987379116334,0.6108977407693928,logis45,mvr
41,37562600,490,6998777.389526367,4.506662420213594,-3.5101886133796194,0.6285638112183994,logis45,nn
