,size of model,cardinality of dataset,pred time,max error,min error,avg error,dataset,setting
0,16000376,159264,563513278.9611816,0.0,0.0,0.0,beta1,adaptiveSize
1,16000376,159264,581522703.1707764,0.0,0.0,0.0,beta1,adaptiveTime
2,16000376,159264,574530839.920044,0.0,0.0,0.0,beta1,adaptivePrecision
3,16000376,159264,560503482.8186035,0.0,0.0,0.0,beta1,adaptiveOptimal
4,1289184,159264,42795985937.11853,32.347963221819796,-466.0802790928574,2.5852982563247853,beta1,mvr
5,23222664,159264,1157054185.8673096,66.218887496698,-86.57164340867894,2.6152828791530687,beta1,nn
6,18318136,188236,662596225.7385254,0.0,0.0,0.0,beta2,adaptiveSize
7,18318136,188236,657591819.7631836,0.0,0.0,0.0,beta2,adaptiveTime
8,18318136,188236,661610126.4953613,0.0,0.0,0.0,beta2,adaptivePrecision
9,18318136,188236,660601615.9057617,0.0,0.0,0.0,beta2,adaptiveOptimal
10,1289184,188236,51204645872.11609,32.703498794002456,-290.56437064381316,2.874754735246352,beta2,mvr
11,25815672,188236,1393261909.4848633,154.43859123612205,-61.25858298805542,2.9269923648292444,beta2,nn
12,199736,421,2001285.5529785156,0.0,0.0,0.0,beta24,adaptiveSize
13,199736,421,3002882.0037841797,0.0,0.0,0.0,beta24,adaptiveTime
14,199736,421,1994371.4141845703,0.0,0.0,0.0,beta24,adaptivePrecision
15,199736,421,2001523.9715576172,0.0,0.0,0.0,beta24,adaptiveOptimal
16,66056,421,156142473.2208252,2.510164246003683,-1.9564681846804888,0.5327790236026788,beta24,mvr
17,27239472,421,6005525.588989258,2.414845031586424,-1.894824536111173,0.539033249260688,beta24,nn
18,193576,344,1994371.4141845703,0.0,0.0,0.0,beta25,adaptiveSize
19,193576,344,2000093.4600830078,0.0,0.0,0.0,beta25,adaptiveTime
20,193576,344,2001523.9715576172,0.0,0.0,0.0,beta25,adaptivePrecision
21,193576,344,1994609.8327636719,0.0,0.0,0.0,beta25,adaptiveOptimal
22,65576,344,91083049.77416992,1.8523530046737164,-1.6396613557233346,0.5239262017281613,beta25,mvr
23,29735672,344,5004882.8125,1.8768748899739478,-2.0954586042649908,0.5282636902812831,beta25,nn
24,17025976,172084,601555347.442627,0.0,0.0,0.0,logis1,adaptiveSize
25,17025976,172084,601541042.3278809,0.0,0.0,0.0,logis1,adaptiveTime
26,17025976,172084,607553243.637085,0.0,0.0,0.0,logis1,adaptivePrecision
27,17025976,172084,600539922.7142334,0.0,0.0,0.0,logis1,adaptiveOptimal
28,1288400,172084,14434156179.4281,103885.88954407896,-104397.81588566999,306.05173925086336,logis1,mvr
29,33451960,172084,1373251438.1408691,17.73706411209423,-16.708869257032347,2.667908804720267,logis1,nn
30,18195896,186708,648583650.5889893,0.0,0.0,0.0,logis2,adaptiveSize
31,18195896,186708,656597852.7069092,0.0,0.0,0.0,logis2,adaptiveTime
32,18195896,186708,664598226.5472412,0.0,0.0,0.0,logis2,adaptivePrecision
33,18195896,186708,654596090.3167725,0.0,0.0,0.0,logis2,adaptiveOptimal
34,1282096,186708,12713581562.042236,157266.7073149286,-170087.14878704687,468.2993619226195,logis2,mvr
35,36223792,186708,1506379604.3395996,22.547128567387176,-20.782532463927055,2.802061849609333,logis2,nn
36,205256,490,3002882.0037841797,0.0,0.0,0.0,logis45,adaptiveSize
37,205256,490,3010272.979736328,0.0,0.0,0.0,logis45,adaptiveTime
38,205256,490,3002643.585205078,0.0,0.0,0.0,logis45,adaptivePrecision
39,205256,490,3002882.0037841797,0.0,0.0,0.0,logis45,adaptiveOptimal
40,64800,490,42038440.7043457,3.0282825078469955,-2.7493987379116334,0.6108977407693928,logis45,mvr
41,37562600,490,6998777.389526367,4.506662420213594,-3.5101886133796194,0.6285638112183994,logis45,nn
42,195496,368,1994132.9956054688,0.0,0.0,0.0,logis44,adaptiveSize
43,195496,368,1994609.8327636719,0.0,0.0,0.0,logis44,adaptiveTime
44,195496,368,3002643.585205078,0.0,0.0,0.0,logis44,adaptivePrecision
45,195496,368,3003120.4223632812,0.0,0.0,0.0,logis44,adaptiveOptimal
46,64784,368,33029794.692993164,2.5644305851760123,-3.693481289710064,0.5047686728943299,logis44,mvr
47,40057720,368,5004405.975341797,2.476369805693693,-3.9497521323130513,0.5206374329994666,logis44,nn
48,18439816,189757,663604021.0723877,0.0,0.0,0.0,logn1,adaptiveSize
49,18439816,189757,666607379.9133301,0.0,0.0,0.0,logn1,adaptiveTime
50,18439816,189757,665599107.7423096,0.0,0.0,0.0,logn1,adaptivePrecision
51,18439816,189757,672605514.5263672,0.0,0.0,0.0,logn1,adaptiveOptimal
52,1196312,189757,7619941473.007202,5167.54135926484,-189851.09369841364,718.7293796939989,logn1,mvr
53,43772256,189757,1653506278.9916992,968.2994318301139,-2703.248247408832,6.615843756687651,logn1,nn
54,18567256,191350,680619955.0628662,0.0,0.0,0.0,logn2,adaptiveSize
55,18567256,191350,670610904.6936035,0.0,0.0,0.0,logn2,adaptiveTime
56,18567256,191350,674607038.4979248,0.0,0.0,0.0,logn2,adaptivePrecision
57,18567256,191350,664597749.710083,0.0,0.0,0.0,logn2,adaptiveOptimal
58,1142792,191350,7884175300.598145,2841.5389979240717,-191350.3127203101,380.80452557724396,logn2,mvr
59,46296808,191350,1675526380.5389404,1499.901215616949,-9702.529677414306,11.779769494973811,logn2,nn
60,200056,425,2001762.3901367188,0.0,0.0,0.0,logn51,adaptiveSize
61,200056,425,3002882.0037841797,0.0,0.0,0.0,logn51,adaptiveTime
62,200056,425,2001762.3901367188,0.0,0.0,0.0,logn51,adaptivePrecision
63,200056,425,3002882.0037841797,0.0,0.0,0.0,logn51,adaptiveOptimal
64,64672,425,26023626.32751465,3.191788928540518,-6.326470227905929,0.6223804674695949,logn51,mvr
65,48049768,425,6005525.588989258,2.9182799461281093,-2.431809128353052,0.6285432912419306,logn51,nn
66,206776,509,3003120.4223632812,0.0,0.0,0.0,logn52,adaptiveSize
67,206776,509,3002405.1666259766,0.0,0.0,0.0,logn52,adaptiveTime
68,206776,509,3002643.585205078,0.0,0.0,0.0,logn52,adaptivePrecision
69,206776,509,3002882.0037841797,0.0,0.0,0.0,logn52,adaptiveOptimal
70,64672,509,31035423.278808594,6.627494655864666,-16.21486242052174,0.777542578498787,logn52,mvr
71,50543328,509,7006406.784057617,11.861313375863574,-35.63772478050066,1.4700168411590058,logn52,nn
72,18028776,184619,648583889.0075684,0.0,0.0,0.0,parteo1,adaptiveSize
73,18028776,184619,645582914.352417,0.0,0.0,0.0,parteo1,adaptiveTime
74,18028776,184619,653588056.564331,0.0,0.0,0.0,parteo1,adaptivePrecision
75,18028776,184619,639575242.9962158,0.0,0.0,0.0,parteo1,adaptiveOptimal
76,1240768,184619,15833423852.920532,11566.907798699162,-184615.9041450367,1147.846824534417,parteo1,mvr
77,54244120,184619,1689531564.7125244,814.5913671123271,-7568.548651038262,14.372713838884502,parteo1,nn
78,18567976,191359,674607276.9165039,0.0,0.0,0.0,parteo2,adaptiveSize
79,18567976,191359,671611547.4700928,0.0,0.0,0.0,parteo2,adaptiveTime
80,18567976,191359,675615310.6689453,0.0,0.0,0.0,parteo2,adaptivePrecision
81,18567976,191359,671604156.4941406,0.0,0.0,0.0,parteo2,adaptiveOptimal
82,1182288,191359,13490289449.691772,10098.339001341577,-191357.87173735828,1138.6425517120433,parteo2,mvr
83,56757208,191359,1777619361.8774414,1663.4893969240075,-34519.83914288611,38.304107228390166,parteo2,nn
84,201816,447,3010272.979736328,0.0,0.0,0.0,parto33,adaptiveSize
85,201816,447,2002000.8087158203,0.0,0.0,0.0,parto33,adaptiveTime
86,201816,447,2001523.9715576172,0.0,0.0,0.0,parto33,adaptivePrecision
87,201816,447,3008842.4682617188,0.0,0.0,0.0,parto33,adaptiveOptimal
88,64912,447,52047252.6550293,2.044822902295664,-3.9998255693669194,0.604263543053486,parto33,mvr
89,58152160,447,6012678.146362305,11.675518675562671,-14.386858444604286,1.2840484661660803,parto33,nn
